epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2596,1.56298,2.59425,1.11283,0.55348,0.73066,0.61961,0.31962,1.47959,1.35344,1.1525,0.000414562,0.000414562,0.000414562
2,116.88,1.49501,1.06442,1.12331,0.89486,0.83787,0.89181,0.52991,1.36277,1.13245,1.11457,0.000823,0.000823,0.000823
3,170.587,1.4697,0.97861,1.10455,0.78234,0.80513,0.80497,0.47478,1.48445,1.34515,1.13105,0.00122319,0.00122319,0.00122319
4,224.146,1.44584,0.92781,1.09213,0.86501,0.84449,0.91002,0.53416,1.38937,0.88546,1.10108,0.00121287,0.00121287,0.00121287
5,278.396,1.41421,0.87813,1.07837,0.91913,0.83808,0.92504,0.54587,1.42251,0.84282,1.09706,0.0012005,0.0012005,0.0012005
6,332.421,1.35642,0.82354,1.05374,0.93167,0.88352,0.94487,0.58552,1.28759,0.74981,1.0434,0.00118812,0.00118812,0.00118812
7,389.49,1.33258,0.79178,1.04906,0.91615,0.88567,0.94308,0.58968,1.27721,0.76658,1.04653,0.00117575,0.00117575,0.00117575
8,442.917,1.31291,0.76413,1.03083,0.95789,0.89499,0.9503,0.60235,1.23523,0.73881,1.01929,0.00116337,0.00116337,0.00116337
9,496.96,1.3016,0.73199,1.02033,0.96124,0.92547,0.96291,0.61617,1.27352,0.70234,1.02665,0.001151,0.001151,0.001151
10,550.695,1.25882,0.71583,1.01738,0.96507,0.9252,0.9593,0.62112,1.19637,0.66937,1.01437,0.00113863,0.00113863,0.00113863
11,606.163,1.27539,0.71631,1.01236,0.94123,0.94478,0.96406,0.61964,1.22708,0.65723,1.01886,0.00112625,0.00112625,0.00112625
12,659.675,1.23483,0.68045,0.99717,0.97524,0.94591,0.97177,0.64062,1.16047,0.61879,0.99357,0.00111388,0.00111388,0.00111388
13,713.084,1.21651,0.67389,0.99937,0.96214,0.93299,0.95543,0.62268,1.20652,0.64706,1.00668,0.0011015,0.0011015,0.0011015
14,763.952,1.21998,0.66882,0.99794,0.97897,0.93609,0.97279,0.65238,1.16504,0.6038,0.98606,0.00108913,0.00108913,0.00108913
15,816.416,1.20956,0.65701,0.98836,0.96434,0.92161,0.96635,0.65197,1.14604,0.6369,0.98754,0.00107675,0.00107675,0.00107675
16,871.215,1.19015,0.64607,0.99286,0.97767,0.94788,0.97772,0.65845,1.12889,0.60245,0.98078,0.00106437,0.00106437,0.00106437
17,923.445,1.18598,0.63787,0.98333,0.96525,0.94654,0.97354,0.65532,1.1815,0.59188,0.99127,0.001052,0.001052,0.001052
18,974.85,1.16865,0.62429,0.97804,0.97364,0.96002,0.9814,0.66302,1.10912,0.57246,0.96863,0.00103962,0.00103962,0.00103962
19,1026.64,1.16762,0.61859,0.97542,0.96422,0.95198,0.97937,0.66377,1.11709,0.56512,0.97197,0.00102725,0.00102725,0.00102725
20,1080.26,1.16586,0.62078,0.9741,0.98018,0.95447,0.98125,0.67402,1.10374,0.5639,0.96886,0.00101488,0.00101488,0.00101488
21,1131.7,1.14274,0.60838,0.97006,0.98043,0.94659,0.98001,0.65613,1.16529,0.57217,0.98009,0.0010025,0.0010025,0.0010025
22,1184.23,1.13662,0.59938,0.9692,0.98141,0.95207,0.98063,0.68339,1.09454,0.5485,0.97076,0.000990125,0.000990125,0.000990125
23,1235.93,1.13587,0.58993,0.96342,0.97947,0.97128,0.98537,0.6889,1.0601,0.53029,0.95332,0.00097775,0.00097775,0.00097775
24,1287.7,1.12431,0.59084,0.96398,0.97305,0.97065,0.98489,0.68827,1.1059,0.54302,0.96114,0.000965375,0.000965375,0.000965375
25,1339.34,1.10045,0.58081,0.95976,0.98175,0.96335,0.98746,0.69105,1.07716,0.53207,0.95921,0.000953,0.000953,0.000953
26,1391.73,1.10107,0.57674,0.95548,0.98139,0.95984,0.98321,0.70155,1.07244,0.51307,0.95043,0.000940625,0.000940625,0.000940625
27,1443.92,1.10488,0.57121,0.94936,0.98709,0.96517,0.9812,0.70327,1.06032,0.51204,0.9523,0.00092825,0.00092825,0.00092825
28,1499.13,1.09657,0.56642,0.95592,0.9777,0.9636,0.9837,0.70798,1.06807,0.51299,0.95924,0.000915875,0.000915875,0.000915875
29,1551.13,1.0966,0.56339,0.95217,0.98788,0.96518,0.98099,0.69645,1.03532,0.50424,0.94759,0.0009035,0.0009035,0.0009035
30,1606.24,1.07734,0.55558,0.94952,0.98651,0.96184,0.98117,0.69649,1.05155,0.50575,0.94619,0.000891125,0.000891125,0.000891125
31,1659.5,1.06712,0.55264,0.948,0.98741,0.95822,0.98328,0.71122,1.04502,0.49384,0.94464,0.00087875,0.00087875,0.00087875
32,1712.12,1.06415,0.54475,0.94706,0.98725,0.9664,0.99055,0.70636,1.04065,0.49329,0.94163,0.000866375,0.000866375,0.000866375
33,1764.49,1.06869,0.54607,0.9463,0.98834,0.96722,0.9864,0.70756,1.03776,0.49882,0.93354,0.000854,0.000854,0.000854
34,1816.19,1.06861,0.53932,0.94377,0.99312,0.97102,0.98753,0.71675,1.03672,0.4826,0.93553,0.000841625,0.000841625,0.000841625
