epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.0126,1.53805,2.17167,1.11317,0.90713,0.82073,0.89766,0.50896,1.48582,0.94036,1.15741,0.000415612,0.000415612,0.000415612
2,182.137,1.50311,1.04513,1.11797,0.89752,0.70601,0.83517,0.4655,1.45282,1.25095,1.13464,0.000824039,0.000824039,0.000824039
3,267.468,1.50361,0.99451,1.11732,0.90442,0.83728,0.91064,0.52462,1.38526,0.92842,1.10226,0.00122422,0.00122422,0.00122422
4,353.446,1.45481,0.92436,1.10192,0.90057,0.87454,0.91177,0.53533,1.40428,0.81294,1.10472,0.00121287,0.00121287,0.00121287
5,438.295,1.40556,0.86644,1.07396,0.93703,0.8933,0.94472,0.57803,1.31551,0.7987,1.0759,0.0012005,0.0012005,0.0012005
6,523.257,1.37658,0.81927,1.05452,0.94934,0.91373,0.95058,0.58869,1.27338,0.74369,1.03723,0.00118812,0.00118812,0.00118812
7,608.115,1.33959,0.78702,1.04478,0.9445,0.90441,0.93968,0.59223,1.2727,0.71228,1.0409,0.00117575,0.00117575,0.00117575
8,693.726,1.31465,0.77312,1.03106,0.97183,0.93054,0.96379,0.62367,1.21857,0.66275,1.00575,0.00116337,0.00116337,0.00116337
9,778.654,1.30425,0.75083,1.02222,0.95056,0.92289,0.96658,0.63646,1.22042,0.66902,1.00622,0.001151,0.001151,0.001151
10,863.305,1.27498,0.72698,1.01839,0.97094,0.94283,0.96711,0.63269,1.22412,0.63454,0.99477,0.00113863,0.00113863,0.00113863
11,947.758,1.25484,0.71173,1.01136,0.96937,0.93149,0.97267,0.63871,1.2044,0.6495,1.00401,0.00112625,0.00112625,0.00112625
12,1049.91,1.23831,0.69424,1.00676,0.95995,0.94283,0.97513,0.65165,1.17053,0.62632,0.9833,0.00111388,0.00111388,0.00111388
13,1144.14,1.222,0.6804,1.00027,0.96877,0.94465,0.97496,0.65618,1.17959,0.60578,0.98977,0.0011015,0.0011015,0.0011015
