epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.5759,1.60903,3.04131,1.14361,0.83274,0.76608,0.83526,0.47577,1.45474,1.55055,1.13037,0.000415612,0.000415612,0.000415612
2,139.124,1.53355,1.50547,1.13091,0.87704,0.75643,0.86137,0.47999,1.45469,1.22322,1.15362,0.000824039,0.000824039,0.000824039
3,195.706,1.50906,1.13579,1.1201,0.91046,0.83505,0.90626,0.52782,1.40175,0.92839,1.10424,0.00122422,0.00122422,0.00122422
4,251.326,1.47979,1.00418,1.10715,0.9031,0.82831,0.90975,0.52517,1.42105,0.90298,1.09457,0.00121287,0.00121287,0.00121287
5,307.423,1.44335,0.9295,1.08449,0.94412,0.89446,0.94294,0.55943,1.34042,0.80645,1.0704,0.0012005,0.0012005,0.0012005
6,363.202,1.40268,0.86439,1.06193,0.94799,0.88769,0.94773,0.59098,1.27856,0.74825,1.02725,0.00118812,0.00118812,0.00118812
7,419.091,1.37607,0.83249,1.05331,0.9513,0.90354,0.95365,0.57891,1.29728,0.73002,1.03223,0.00117575,0.00117575,0.00117575
8,476.042,1.35686,0.81102,1.04383,0.96373,0.93107,0.96677,0.6075,1.25191,0.68736,1.02346,0.00116337,0.00116337,0.00116337
9,530.229,1.33776,0.78426,1.03745,0.95694,0.91998,0.96181,0.62613,1.23183,0.69544,1.01137,0.001151,0.001151,0.001151
10,586.984,1.31879,0.76663,1.02887,0.95029,0.91444,0.95744,0.60731,1.26761,0.69937,1.00635,0.00113863,0.00113863,0.00113863
11,642.003,1.30299,0.74709,1.02253,0.95033,0.94106,0.96933,0.62019,1.22147,0.66061,0.98869,0.00112625,0.00112625,0.00112625
12,696.196,1.29408,0.7395,1.02155,0.96266,0.92564,0.96793,0.62425,1.22023,0.65814,0.99652,0.00111388,0.00111388,0.00111388
13,755.466,1.26763,0.71873,1.01536,0.9615,0.94981,0.97709,0.62832,1.21013,0.6329,0.99294,0.0011015,0.0011015,0.0011015
14,811.851,1.27863,0.72192,1.01178,0.97475,0.94214,0.97102,0.63629,1.17353,0.6501,0.97402,0.00108913,0.00108913,0.00108913
15,867.536,1.25805,0.69815,1.00675,0.96738,0.9364,0.97115,0.63102,1.19667,0.62967,0.98818,0.00107675,0.00107675,0.00107675
16,923.166,1.25036,0.69179,1.00195,0.95748,0.92644,0.96677,0.61928,1.24492,0.64339,0.99404,0.00106437,0.00106437,0.00106437
17,979.075,1.24459,0.67944,0.99609,0.96758,0.94809,0.97659,0.6414,1.17997,0.63187,0.98091,0.001052,0.001052,0.001052
18,1034.46,1.22856,0.67448,0.99227,0.9674,0.95815,0.98095,0.64458,1.16795,0.61143,0.97745,0.00103962,0.00103962,0.00103962
19,1090.91,1.20404,0.65979,0.98359,0.97531,0.95317,0.98401,0.65283,1.17472,0.60733,0.97271,0.00102725,0.00102725,0.00102725
20,1146.55,1.22187,0.66643,0.98858,0.97678,0.95352,0.97818,0.66211,1.14177,0.59535,0.96844,0.00101488,0.00101488,0.00101488
21,1202.46,1.20548,0.65265,0.98546,0.96495,0.9566,0.97846,0.64636,1.16933,0.60812,0.96818,0.0010025,0.0010025,0.0010025
22,1259.24,1.1994,0.64384,0.98417,0.97733,0.96469,0.98277,0.66443,1.14641,0.56978,0.96182,0.000990125,0.000990125,0.000990125
23,1315.78,1.1803,0.63782,0.98056,0.97067,0.95619,0.97932,0.66234,1.13951,0.57037,0.96289,0.00097775,0.00097775,0.00097775
24,1371.85,1.19855,0.63261,0.98573,0.9686,0.96593,0.98353,0.67945,1.12982,0.56747,0.96159,0.000965375,0.000965375,0.000965375
25,1428.09,1.17497,0.62991,0.97971,0.97688,0.95221,0.98119,0.67422,1.12063,0.58546,0.96061,0.000953,0.000953,0.000953
26,1485.11,1.17637,0.63391,0.973,0.97185,0.96516,0.98553,0.68023,1.1102,0.56276,0.95485,0.000940625,0.000940625,0.000940625
27,1540.35,1.16398,0.62009,0.97751,0.97166,0.97263,0.98304,0.67376,1.12941,0.55097,0.96476,0.00092825,0.00092825,0.00092825
28,1593.42,1.16625,0.61382,0.97348,0.97084,0.96432,0.98429,0.67567,1.10584,0.554,0.95469,0.000915875,0.000915875,0.000915875
29,1647.04,1.15377,0.60606,0.97101,0.98112,0.97117,0.98273,0.67205,1.09883,0.53989,0.95133,0.0009035,0.0009035,0.0009035
30,1701.04,1.14235,0.59898,0.96662,0.98484,0.96625,0.98267,0.67981,1.09761,0.53963,0.95292,0.000891125,0.000891125,0.000891125
31,1754.77,1.14878,0.60223,0.96483,0.97321,0.97585,0.98689,0.68697,1.08598,0.53572,0.94625,0.00087875,0.00087875,0.00087875
32,1807.16,1.14151,0.60815,0.96775,0.98857,0.95666,0.98367,0.70226,1.06068,0.52635,0.94164,0.000866375,0.000866375,0.000866375
33,1859.7,1.13229,0.59008,0.96114,0.97992,0.95352,0.98453,0.69322,1.08109,0.53191,0.94215,0.000854,0.000854,0.000854
34,1911.62,1.13079,0.58868,0.95462,0.98092,0.97565,0.99099,0.69407,1.06834,0.52552,0.94822,0.000841625,0.000841625,0.000841625
35,1963.75,1.10732,0.58038,0.96025,0.97774,0.96512,0.98207,0.68659,1.07735,0.52231,0.9464,0.00082925,0.00082925,0.00082925
36,2015.8,1.11925,0.57691,0.94966,0.97412,0.97197,0.98369,0.69603,1.0704,0.51311,0.94012,0.000816875,0.000816875,0.000816875
37,2068.07,1.11546,0.57984,0.95627,0.98096,0.9651,0.98536,0.68914,1.06462,0.51857,0.94355,0.0008045,0.0008045,0.0008045
38,2119.94,1.10167,0.57052,0.95066,0.97546,0.97392,0.98792,0.69294,1.06973,0.51436,0.94252,0.000792125,0.000792125,0.000792125
39,2171.66,1.10223,0.56705,0.94989,0.97672,0.97368,0.98795,0.70262,1.05933,0.50041,0.93193,0.00077975,0.00077975,0.00077975
40,2223.67,1.09923,0.56206,0.94538,0.98215,0.97366,0.98891,0.70668,1.05,0.50225,0.9394,0.000767375,0.000767375,0.000767375
